Question,Answer
New Year's Eve,Sounds nice! Where is it?
business event,Sounds nice! Where is it?
Birthday,Sounds nice! Where is it?
Halloween disco party,That sounds great! Can you share the location of the event?
Piershil's 500th anniversary,Exciting! Could you tell me where will it be happening?
Family party,Exciting! Could you tell me where will it be happening?
Family party,That sounds great! Can you share the location of the event?
Gala,That sounds great! Can you share the location of the event?
Musical Wednesdays Summer 2024,That sounds great! Can you share the location of the event?
On the street. Argue,That sounds great! Can you share the location of the event?
adult birthday,That sounds great! Can you share the location of the event?
Football canteen,Cool! Could you tell me where is it?
neighborhood parties,Sounds nice! Where is it?
Halloween evening,Cool! Could you tell me where is it?
village festival,Cool! Could you tell me where is it?
Birthday,Cool! Could you tell me where is it?
Manga Lounge,That sounds great! Can you share the location of the event?
Birthday,That sounds great! Can you share the location of the event?
60th birthday,Cool! Could you tell me where is it?
Wijnegem Zapt,Exciting! Could you tell me where will it be happening?
New Years Eve,Cool! Could you tell me where is it?
Drinks 70 years,That sounds great! Can you share the location of the event?
New Year's party,Sounds nice! Where is it?
Birthday (50 years),Sounds nice! Where is it?
My 50th birthday,Cool! Could you tell me where is it?
Birthday,That sounds great! Can you share the location of the event?
Christmas (Gold of Old),Cool! Could you tell me where is it?
Concert within the traditional fairs of Cifuentes,Exciting! Could you tell me where will it be happening?
Wedding,Exciting! Could you tell me where will it be happening?
Silent Disco,Exciting! Could you tell me where will it be happening?
Verbena,That sounds great! Can you share the location of the event?
Birthday,Cool! Could you tell me where is it?
Seasonal closure of motorcycle campsite,Exciting! Could you tell me where will it be happening?
50th birthday,Sounds nice! Where is it?
Birthday,Sounds nice! Where is it?
Birthday,That sounds great! Can you share the location of the event?
60th birthday,Cool! Could you tell me where is it?
Wedding,Sounds nice! Where is it?
Birthday,That sounds great! Can you share the location of the event?
Birthday,Exciting! Could you tell me where will it be happening?
18 years old,Exciting! Could you tell me where will it be happening?
25th wedding anniversary/50th anniversary,Exciting! Could you tell me where will it be happening?
company party,Sounds nice! Where is it?
Wedding 40 px,That sounds great! Can you share the location of the event?
"Have fun, bonfire, a sensory video",That sounds great! Can you share the location of the event?
Boda,That sounds great! Can you share the location of the event?
Birthday,Cool! Could you tell me where is it?
Party in a bar,Exciting! Could you tell me where will it be happening?
Metal party,That sounds great! Can you share the location of the event?
Boda,Sounds nice! Where is it?
Birthday,Exciting! Could you tell me where will it be happening?
End of year party lunchroom,Cool! Could you tell me where is it?
LIVE IN THE HOT - FIREPLACE ROOM,That sounds great! Can you share the location of the event?
LIVE IN THE HOT - FIREPLACE ROOM,Sounds nice! Where is it?
Birthday,That sounds great! Can you share the location of the event?
Catholic wedding service,That sounds great! Can you share the location of the event?
Diner,Sounds nice! Where is it?
Birthday,That sounds great! Can you share the location of the event?
Pub party,Sounds nice! Where is it?
Birthday,That sounds great! Can you share the location of the event?
New Years party aboard our vegan river cruise,Sounds nice! Where is it?
Celebration 50 years,Sounds nice! Where is it?
Christmas party,Exciting! Could you tell me where will it be happening?
student party,Sounds nice! Where is it?
Birthday,Exciting! Could you tell me where will it be happening?
Birthday party,Cool! Could you tell me where is it?
Birthday,That sounds great! Can you share the location of the event?
Christmas Gala,Sounds nice! Where is it?
Association party,That sounds great! Can you share the location of the event?
Birthday,Sounds nice! Where is it?
Christmas market,Cool! Could you tell me where is it?
A football party,Exciting! Could you tell me where will it be happening?
25feest,That sounds great! Can you share the location of the event?
Association,Cool! Could you tell me where is it?
Third half of football association,That sounds great! Can you share the location of the event?
"Club summer party under the motto ""Scandinavia""",Exciting! Could you tell me where will it be happening?
Dinner & Dance,Sounds nice! Where is it?
VIDEO CLIPS,Exciting! Could you tell me where will it be happening?
Celebration: 40 years of marriage,Exciting! Could you tell me where will it be happening?
Wedding,Cool! Could you tell me where is it?
Birthday,Cool! Could you tell me where is it?
Boda,That sounds great! Can you share the location of the event?
birthday,Exciting! Could you tell me where will it be happening?
Wedding,Exciting! Could you tell me where will it be happening?
Sports event,Exciting! Could you tell me where will it be happening?
Private party,Exciting! Could you tell me where will it be happening?
Wedding,Sounds nice! Where is it?
Company party: anniversary celebration,Sounds nice! Where is it?
Company drinks,That sounds great! Can you share the location of the event?
Birthday,Exciting! Could you tell me where will it be happening?
18th birthday,That sounds great! Can you share the location of the event?
18th birthday party,Cool! Could you tell me where is it?
Birthday party,Sounds nice! Where is it?
School party,Exciting! Could you tell me where will it be happening?
Charity fundraising,Cool! Could you tell me where is it?
Birthday,That sounds great! Can you share the location of the event?
Drinks party,That sounds great! Can you share the location of the event?
Lower school party,Cool! Could you tell me where is it?
patronal festival,Exciting! Could you tell me where will it be happening?
Brunch / buffet,Exciting! Could you tell me where will it be happening?
Hardstyle party for public audiences,Sounds nice! Where is it?
Nightshade,Sounds nice! Where is it?
Dinner and drinks for retirement,That sounds great! Can you share the location of the event?
Christmas,That sounds great! Can you share the location of the event?
Wedding,Sounds nice! Where is it?
birthday dinner,That sounds great! Can you share the location of the event?
Birthday drinks (70),Sounds nice! Where is it?
A drink,That sounds great! Can you share the location of the event?
Boda (cocktail),Exciting! Could you tell me where will it be happening?
party,Cool! Could you tell me where is it?
birthday party girl 18 years,Exciting! Could you tell me where will it be happening?
It concerns a mini concert in a center for art and culture.,Sounds nice! Where is it?
Birthday party,Cool! Could you tell me where is it?
Party to celebrate champions,Exciting! Could you tell me where will it be happening?
"corporate event, late night show",Exciting! Could you tell me where will it be happening?
Party at Palma club,That sounds great! Can you share the location of the event?
Birthday,Cool! Could you tell me where is it?
Birthday,Exciting! Could you tell me where will it be happening?
Company party,Sounds nice! Where is it?
Wedding,Exciting! Could you tell me where will it be happening?
Corporate event,That sounds great! Can you share the location of the event?
Boda,Cool! Could you tell me where is it?
Small family party (15 people),That sounds great! Can you share the location of the event?
Sensation white in the pub,Exciting! Could you tell me where will it be happening?
Birthday,Sounds nice! Where is it?
Berlin cruising sailors meeting 2024,Sounds nice! Where is it?
New Year's party for seniors,That sounds great! Can you share the location of the event?
wedding 40 pax intimate setting,Sounds nice! Where is it?
Special guest,Cool! Could you tell me where is it?
Birthday,That sounds great! Can you share the location of the event?
Birthday party,Exciting! Could you tell me where will it be happening?
Birthday,Cool! Could you tell me where is it?
Anniversary party K'77 Woerden,Cool! Could you tell me where is it?
company scene,Cool! Could you tell me where is it?
50th wedding anniversary,Cool! Could you tell me where is it?
Wedding,Cool! Could you tell me where is it?
Birthday 50,That sounds great! Can you share the location of the event?
Christmas dinner,That sounds great! Can you share the location of the event?
Wedding,Cool! Could you tell me where is it?
Wedding,Sounds nice! Where is it?
Corporate event,Sounds nice! Where is it?
Birthday,Cool! Could you tell me where is it?
Diner,That sounds great! Can you share the location of the event?
Christmas party,That sounds great! Can you share the location of the event?
Festival,Exciting! Could you tell me where will it be happening?
Management,Exciting! Could you tell me where will it be happening?
Birthday,Sounds nice! Where is it?
Birthday,Cool! Could you tell me where is it?
My 50th birthday,That sounds great! Can you share the location of the event?
Christmas Eve,Cool! Could you tell me where is it?
company event,Sounds nice! Where is it?
King's Day celebration,Exciting! Could you tell me where will it be happening?
Birthday 60 years,Exciting! Could you tell me where will it be happening?
birthday,Cool! Could you tell me where is it?
Bar,Cool! Could you tell me where is it?
Vermouth with live music on the terrace,Cool! Could you tell me where is it?
vermut musical,Sounds nice! Where is it?
Staff anniversary party,Exciting! Could you tell me where will it be happening?
Wedding,That sounds great! Can you share the location of the event?
New Year,Exciting! Could you tell me where will it be happening?
3rd Rockabilly Fest,Exciting! Could you tell me where will it be happening?
Christmas party,Cool! Could you tell me where is it?
birthday organization,That sounds great! Can you share the location of the event?
seniorenfeest,That sounds great! Can you share the location of the event?
birthday,That sounds great! Can you share the location of the event?
Birthday,Sounds nice! Where is it?
Christmas at Paddenbroek,Cool! Could you tell me where is it?
Small festival,Exciting! Could you tell me where will it be happening?
40th birthday party with 4 girlfriends,Cool! Could you tell me where is it?
private party,Cool! Could you tell me where is it?
reception after conference,Exciting! Could you tell me where will it be happening?
Wedding,Cool! Could you tell me where is it?
Sinterklaas procession and street party,Exciting! Could you tell me where will it be happening?
Birthday,Exciting! Could you tell me where will it be happening?
30 year anniversary,That sounds great! Can you share the location of the event?
Party,Cool! Could you tell me where is it?
Business Event,Cool! Could you tell me where is it?
Wedding party,Cool! Could you tell me where is it?
Small wedding,Sounds nice! Where is it?
50th birthday party,That sounds great! Can you share the location of the event?
Club,Cool! Could you tell me where is it?
Bar,Cool! Could you tell me where is it?
Wedding,That sounds great! Can you share the location of the event?
Village festival,That sounds great! Can you share the location of the event?
Boda,Sounds nice! Where is it?
Party. White,Exciting! Could you tell me where will it be happening?
company reception,Cool! Could you tell me where is it?
Festival,Exciting! Could you tell me where will it be happening?
Sunday Market (Funky Xmas),Cool! Could you tell me where is it?
Carnaval,Sounds nice! Where is it?
Company party,Sounds nice! Where is it?
New Year's drinks,Sounds nice! Where is it?
Fidelity,Exciting! Could you tell me where will it be happening?
last day of the year,That sounds great! Can you share the location of the event?
Ladies en Gentlemen's night,Sounds nice! Where is it?
New Year's,That sounds great! Can you share the location of the event?
Romantic dinner at home,Sounds nice! Where is it?
Private event/diner with friends,That sounds great! Can you share the location of the event?
Failures,Sounds nice! Where is it?
an exclusive evening 'Musical Evening' for the members of Neos GBN,Cool! Could you tell me where is it?
Music festival,Exciting! Could you tell me where will it be happening?
Birthday,Exciting! Could you tell me where will it be happening?
Wedding,That sounds great! Can you share the location of the event?
Christmas Gala,Sounds nice! Where is it?
90th birthday,Exciting! Could you tell me where will it be happening?
dinner before new year,That sounds great! Can you share the location of the event?
Anniversary,Exciting! Could you tell me where will it be happening?
Boda,That sounds great! Can you share the location of the event?
Tour,Exciting! Could you tell me where will it be happening?
End of year dinner,Cool! Could you tell me where is it?
Bourtange Christmas market,That sounds great! Can you share the location of the event?
wedding,That sounds great! Can you share the location of the event?
new year's drinks,Exciting! Could you tell me where will it be happening?
Corporate Event,Sounds nice! Where is it?
birthday,Sounds nice! Where is it?
Birthday,Exciting! Could you tell me where will it be happening?
Wedding,Sounds nice! Where is it?
Football club,Sounds nice! Where is it?
New Year's reception,That sounds great! Can you share the location of the event?
Wedding anniversary celebration,Cool! Could you tell me where is it?
"performance in a small-scale residential facility for young people with dementia, 25 to 35 residents",Cool! Could you tell me where is it?
Christmas meal,Sounds nice! Where is it?
Sara party theme and 25 years of marriage,Sounds nice! Where is it?
DIVERSE BAR ANIMATION,Exciting! Could you tell me where will it be happening?
birthday,Cool! Could you tell me where is it?
Christmas for the less fortunate,Sounds nice! Where is it?
first festival for special education students aged 12 to 21,Sounds nice! Where is it?
Christmas drinks,Exciting! Could you tell me where will it be happening?
"Bringing atmosphere to a ""viewing day"" to promote our rental of assisted living homes",That sounds great! Can you share the location of the event?
New Year's Eve Party,That sounds great! Can you share the location of the event?
Reunion,That sounds great! Can you share the location of the event?
Concert,Cool! Could you tell me where is it?
new year's eve Private party,That sounds great! Can you share the location of the event?
wedding anniversary party,That sounds great! Can you share the location of the event?
Birthday,Exciting! Could you tell me where will it be happening?
Concert at home 3rd Edition.,Sounds nice! Where is it?
Wedding,Sounds nice! Where is it?
Fidelity,Cool! Could you tell me where is it?
Christmas Food,That sounds great! Can you share the location of the event?
Birthday,Sounds nice! Where is it?
47th anniversary of motorcycle club,Cool! Could you tell me where is it?
To have lunch,Sounds nice! Where is it?
Proposal,Exciting! Could you tell me where will it be happening?
Reception neos,Exciting! Could you tell me where will it be happening?
Bar opening,That sounds great! Can you share the location of the event?
Wedding,Exciting! Could you tell me where will it be happening?
New Year's Day,That sounds great! Can you share the location of the event?
Birthday,Cool! Could you tell me where is it?
Company scene,Exciting! Could you tell me where will it be happening?
Company drinks,Exciting! Could you tell me where will it be happening?
Corporate Christmas event,Sounds nice! Where is it?
New Year's Eve party,Cool! Could you tell me where is it?
Motorcycle club party,Cool! Could you tell me where is it?
50 years married,Sounds nice! Where is it?
Birthday party,Sounds nice! Where is it?
Wedding,That sounds great! Can you share the location of the event?
Wedding,That sounds great! Can you share the location of the event?
Birthday,Exciting! Could you tell me where will it be happening?
Celebrate 20 years of being together,Exciting! Could you tell me where will it be happening?
Funky Xmas Market,Cool! Could you tell me where is it?
Boda,Exciting! Could you tell me where will it be happening?
Dive boat evening,Exciting! Could you tell me where will it be happening?
Company Christmas dinner,Cool! Could you tell me where is it?
Send off party,That sounds great! Can you share the location of the event?
Marriage,That sounds great! Can you share the location of the event?
big scout festival,Exciting! Could you tell me where will it be happening?
cocktail in a clothing store,That sounds great! Can you share the location of the event?
"drinks, company party",That sounds great! Can you share the location of the event?
Christmas market,That sounds great! Can you share the location of the event?
Ceremony accompaniment and background music at the reception,That sounds great! Can you share the location of the event?
18th birthday party,That sounds great! Can you share the location of the event?
Background music Christmas drinks,Exciting! Could you tell me where will it be happening?
Festival,That sounds great! Can you share the location of the event?
Year-end closing,That sounds great! Can you share the location of the event?
adult birthday,Cool! Could you tell me where is it?
Christmas party,That sounds great! Can you share the location of the event?
Battel Kermis,Exciting! Could you tell me where will it be happening?
Village festival,Exciting! Could you tell me where will it be happening?
Birthday,Sounds nice! Where is it?
Final evening tennis tournament,Sounds nice! Where is it?
boda,That sounds great! Can you share the location of the event?
Company Christmas lunch,That sounds great! Can you share the location of the event?
Wedding cocktail moment,Sounds nice! Where is it?
Wedding,Sounds nice! Where is it?
Christmas meal,Sounds nice! Where is it?
Veldzicht Regional Museum,That sounds great! Can you share the location of the event?
Neighborhood party old and new,That sounds great! Can you share the location of the event?
Christmas drinks and website launch,Exciting! Could you tell me where will it be happening?
marriage,That sounds great! Can you share the location of the event?
60th birthday,Exciting! Could you tell me where will it be happening?
birthday,Exciting! Could you tell me where will it be happening?
Boda,Cool! Could you tell me where is it?
70th birthday,Cool! Could you tell me where is it?
70th BIRTHDAY,That sounds great! Can you share the location of the event?
Birthday,Cool! Could you tell me where is it?
birthday,Sounds nice! Where is it?
Birthday,Exciting! Could you tell me where will it be happening?
10 years of company existence,Sounds nice! Where is it?
tree climbing competition,Cool! Could you tell me where is it?
New Year's Eve dinner and party,That sounds great! Can you share the location of the event?
New Year's reception for volunteers and sponsors last year,That sounds great! Can you share the location of the event?
nursing home,Sounds nice! Where is it?
Wedding,Sounds nice! Where is it?
Party for the volunteers,Exciting! Could you tell me where will it be happening?
Wedding,Cool! Could you tell me where is it?
Wedding,Sounds nice! Where is it?
restaurant,Cool! Could you tell me where is it?
Concert,Cool! Could you tell me where is it?
"Village festivals Eversel, Heusden-Zolder",Cool! Could you tell me where is it?
New Year's Eve,That sounds great! Can you share the location of the event?
End of year party,That sounds great! Can you share the location of the event?
End of year party,Sounds nice! Where is it?
private event,That sounds great! Can you share the location of the event?
Massage Festival,That sounds great! Can you share the location of the event?
Afternoon or New Year's Eve,Sounds nice! Where is it?
Marriage,Exciting! Could you tell me where will it be happening?
Inzingsessie,Sounds nice! Where is it?
Student sports Flanders semi-finals,Exciting! Could you tell me where will it be happening?
New Year's reception,Exciting! Could you tell me where will it be happening?
Birthday,Sounds nice! Where is it?
Boda,Exciting! Could you tell me where will it be happening?
Wedding,Sounds nice! Where is it?
Birthday,Exciting! Could you tell me where will it be happening?
50th birthday,Sounds nice! Where is it?
Pub party,Cool! Could you tell me where is it?
Wedding reception,That sounds great! Can you share the location of the event?
Father retired,That sounds great! Can you share the location of the event?
60th birthday,That sounds great! Can you share the location of the event?
a carnival party,Sounds nice! Where is it?
carnivals,Cool! Could you tell me where is it?
Festival  Storm-fest 2024,Exciting! Could you tell me where will it be happening?
People's cafe,Sounds nice! Where is it?
70th Birthday,Cool! Could you tell me where is it?
Birthday,Exciting! Could you tell me where will it be happening?
60 years anniversary,Exciting! Could you tell me where will it be happening?
birthday,Exciting! Could you tell me where will it be happening?
New Year's drinks,Exciting! Could you tell me where will it be happening?
Electronic music party,Exciting! Could you tell me where will it be happening?
Valentines gala Events,That sounds great! Can you share the location of the event?
60th birthday,Exciting! Could you tell me where will it be happening?
Birthday,That sounds great! Can you share the location of the event?
Poppodium Max,That sounds great! Can you share the location of the event?
Wedding,Cool! Could you tell me where is it?
40th wedding anniversary,That sounds great! Can you share the location of the event?
Dance party,That sounds great! Can you share the location of the event?
village festival,Sounds nice! Where is it?
Internationale Bar/Pub,That sounds great! Can you share the location of the event?
Residential care center,That sounds great! Can you share the location of the event?
60 years anniversary,Exciting! Could you tell me where will it be happening?
New Year's party,That sounds great! Can you share the location of the event?
Birthday,Cool! Could you tell me where is it?
50th birthday surprise,Sounds nice! Where is it?
Birthday,Exciting! Could you tell me where will it be happening?
Private party,Exciting! Could you tell me where will it be happening?
Performances,Exciting! Could you tell me where will it be happening?
Birthday,Exciting! Could you tell me where will it be happening?
50 years,Sounds nice! Where is it?
Cafe de Geitestjal,That sounds great! Can you share the location of the event?
company party,Sounds nice! Where is it?
Compliant,Sounds nice! Where is it?
Boda,Cool! Could you tell me where is it?
Birthday party,Cool! Could you tell me where is it?
18 years,Sounds nice! Where is it?
birthday,Sounds nice! Where is it?
Sardine Burial Parade,Cool! Could you tell me where is it?
Garden terrace performances with the name Music in 't Groen,That sounds great! Can you share the location of the event?
Pub crawl,Sounds nice! Where is it?
Wedding,Cool! Could you tell me where is it?
Birthday,Exciting! Could you tell me where will it be happening?
Tributes are available,Sounds nice! Where is it?
30th birthday party,Exciting! Could you tell me where will it be happening?
Festival,Cool! Could you tell me where is it?
A club that can accommodate 250 people,Cool! Could you tell me where is it?
18th birthday,Exciting! Could you tell me where will it be happening?
bachelorette party,Exciting! Could you tell me where will it be happening?
Birthday party,That sounds great! Can you share the location of the event?
Viering St Patricksday,Cool! Could you tell me where is it?
Marriage,Cool! Could you tell me where is it?
Birthday party,Exciting! Could you tell me where will it be happening?
Punk Festival,Exciting! Could you tell me where will it be happening?
Family party,Sounds nice! Where is it?
BODA,That sounds great! Can you share the location of the event?
Oktoberfest,Sounds nice! Where is it?
New Year's drinks,Sounds nice! Where is it?
Thank you event for the sponsors of the Marsberg Evangelical Foundation,Exciting! Could you tell me where will it be happening?
Event is in Hotel,Exciting! Could you tell me where will it be happening?
birthday,Sounds nice! Where is it?
Recording studio for training,That sounds great! Can you share the location of the event?
Anniversary 50 years,That sounds great! Can you share the location of the event?
Together birthday 135 and retirement age,Cool! Could you tell me where is it?
Boda,That sounds great! Can you share the location of the event?
Scene,Cool! Could you tell me where is it?
Birthday,Sounds nice! Where is it?
Wedding,Cool! Could you tell me where is it?
"Live music in our cafe on Friday evening, no Dutch",Sounds nice! Where is it?
next door van de keti home,Cool! Could you tell me where is it?
Wedding,Sounds nice! Where is it?
15th birthday,That sounds great! Can you share the location of the event?
Carnaval,Sounds nice! Where is it?
Wedding,Exciting! Could you tell me where will it be happening?
Company celebrations,That sounds great! Can you share the location of the event?
Carnival Saturday,Cool! Could you tell me where is it?
Friends golfers from Damme,Sounds nice! Where is it?
Birthday,That sounds great! Can you share the location of the event?
Sweet 16,Sounds nice! Where is it?
Concert,That sounds great! Can you share the location of the event?
Wedding,Cool! Could you tell me where is it?
wedding,Cool! Could you tell me where is it?
weather day,That sounds great! Can you share the location of the event?
Party organized by a club,Exciting! Could you tell me where will it be happening?
Wedding,Exciting! Could you tell me where will it be happening?
"Neighborhood party, Asarock club",Cool! Could you tell me where is it?
Birthday party,Cool! Could you tell me where is it?
Blues/blues rock on Sunday afternoon,Exciting! Could you tell me where will it be happening?
Birthday,Cool! Could you tell me where is it?
Fiesta,Sounds nice! Where is it?
A creative event,Cool! Could you tell me where is it?
Langedoikermarkt 2024,Sounds nice! Where is it?
Festival,That sounds great! Can you share the location of the event?
50th Anniversary KSA Ahoy Vinkt,Exciting! Could you tell me where will it be happening?
birthday,Exciting! Could you tell me where will it be happening?
BDE evening,Sounds nice! Where is it?
Party with group of friends,Exciting! Could you tell me where will it be happening?
Birthday,That sounds great! Can you share the location of the event?
Wedding,Exciting! Could you tell me where will it be happening?
Wedding,Sounds nice! Where is it?
Birthday 50 years,Exciting! Could you tell me where will it be happening?
Valentine's dinner,Exciting! Could you tell me where will it be happening?
Candle light Dinner,That sounds great! Can you share the location of the event?
Wedding,Cool! Could you tell me where is it?
Birthday party,Sounds nice! Where is it?
Fair,Sounds nice! Where is it?
event,Cool! Could you tell me where is it?
Sweet 16 birthday,That sounds great! Can you share the location of the event?
Valentine's Day,That sounds great! Can you share the location of the event?
birthday,Cool! Could you tell me where is it?
Staff party,That sounds great! Can you share the location of the event?
Business,Sounds nice! Where is it?
"Married for 35 years, together for 40 years",Sounds nice! Where is it?
Boda,Sounds nice! Where is it?
Birthday ,That sounds great! Can you share the location of the event?
Popular Festivals,Exciting! Could you tell me where will it be happening?
Party (birthday),Sounds nice! Where is it?
fun performance for our guests who stay with us at the campsite during the Oerol festival,Cool! Could you tell me where is it?
50th birthday,Exciting! Could you tell me where will it be happening?
Neighborhood market,That sounds great! Can you share the location of the event?
Birthday,That sounds great! Can you share the location of the event?
Concert in bar,Cool! Could you tell me where is it?
School party (students aged 15/16),Cool! Could you tell me where is it?
birthday - 12 years,Cool! Could you tell me where is it?
wedding,Sounds nice! Where is it?
wedding,Sounds nice! Where is it?
Marriage,Exciting! Could you tell me where will it be happening?
Birthday party,Sounds nice! Where is it?
Networking event with festival theme,Cool! Could you tell me where is it?
Birthday,Sounds nice! Where is it?
90 years,That sounds great! Can you share the location of the event?
18th birthday,That sounds great! Can you share the location of the event?
Wedding,Exciting! Could you tell me where will it be happening?
Sports Event,Sounds nice! Where is it?
Open-air regional market,Exciting! Could you tell me where will it be happening?
Birthday,Exciting! Could you tell me where will it be happening?
Communion,Exciting! Could you tell me where will it be happening?
Garden party,Exciting! Could you tell me where will it be happening?
boda,Cool! Could you tell me where is it?
Birthday,Cool! Could you tell me where is it?
Lustrum Festival,Sounds nice! Where is it?
company party,Cool! Could you tell me where is it?
Wedding,Cool! Could you tell me where is it?
Festival,Cool! Could you tell me where is it?
50th wedding anniversary in the garden (5000m) with approximately 50 guests,Sounds nice! Where is it?
Festivities,Sounds nice! Where is it?
50 years birthday,Exciting! Could you tell me where will it be happening?
Country party,Sounds nice! Where is it?
Party in pub 18/21 years,Cool! Could you tell me where is it?
Wedding,That sounds great! Can you share the location of the event?
Reception,Sounds nice! Where is it?
Fiesta,Cool! Could you tell me where is it?
Pub crawl,Cool! Could you tell me where is it?
Corporate event,Exciting! Could you tell me where will it be happening?
solidarity concert,Cool! Could you tell me where is it?
enhance dinner,That sounds great! Can you share the location of the event?
Birthday,That sounds great! Can you share the location of the event?
40th birthday,Cool! Could you tell me where is it?
Bar,Cool! Could you tell me where is it?
festival,Cool! Could you tell me where is it?
"Drinking party of 2, 50 year olds",Cool! Could you tell me where is it?
Festival,That sounds great! Can you share the location of the event?
60th birthday,Sounds nice! Where is it?
Friends weekend,That sounds great! Can you share the location of the event?
Birthday,Sounds nice! Where is it?
Wedding,Cool! Could you tell me where is it?
5th anniversary of our acoustic duo,Sounds nice! Where is it?
village festival,Sounds nice! Where is it?
Wedding,That sounds great! Can you share the location of the event?
Birthday,Exciting! Could you tell me where will it be happening?
concerto,Cool! Could you tell me where is it?
flamenco salsa party,Sounds nice! Where is it?
Blues evening,That sounds great! Can you share the location of the event?
Marriage,Exciting! Could you tell me where will it be happening?
Christening,Sounds nice! Where is it?
Birthday,Cool! Could you tell me where is it?
"Annual fair, tent",Cool! Could you tell me where is it?
Rockabilly Party,That sounds great! Can you share the location of the event?
Marriage,Exciting! Could you tell me where will it be happening?
Pub crawl,Cool! Could you tell me where is it?
Birthday party,Cool! Could you tell me where is it?
birthday party,Exciting! Could you tell me where will it be happening?
After work party for charity,That sounds great! Can you share the location of the event?
1000 turns motorcycle meet,Exciting! Could you tell me where will it be happening?
Anniversary team 50 years of KSA AHOY Vinkt,Cool! Could you tell me where is it?
Bar,Sounds nice! Where is it?
Birthday,Sounds nice! Where is it?
Residential care center,Exciting! Could you tell me where will it be happening?
Wedding,Cool! Could you tell me where is it?
Requested marriage,That sounds great! Can you share the location of the event?
Concert before a Drive-In screening,Exciting! Could you tell me where will it be happening?
Concert before a Drive-In screening,Exciting! Could you tell me where will it be happening?
Drinks and awards ceremony after the big bridge drive,That sounds great! Can you share the location of the event?
40th Birthday,Sounds nice! Where is it?
Evening party (daughter's Confirmation),That sounds great! Can you share the location of the event?
birthday surprise,Cool! Could you tell me where is it?
Birthday party,Cool! Could you tell me where is it?
Birthday,Sounds nice! Where is it?
Birthday,Cool! Could you tell me where is it?
Cena,Cool! Could you tell me where is it?
Thai Festival,That sounds great! Can you share the location of the event?
Thaifestival,Exciting! Could you tell me where will it be happening?
village pub ambiance,Exciting! Could you tell me where will it be happening?
Birthday party,That sounds great! Can you share the location of the event?
restaurant,Cool! Could you tell me where is it?
Opening,Cool! Could you tell me where is it?
Birthday,That sounds great! Can you share the location of the event?
Festival,Exciting! Could you tell me where will it be happening?
Wedding,That sounds great! Can you share the location of the event?
Terrasmuzie,Cool! Could you tell me where is it?
t,Cool! Could you tell me where is it?
Wedding,That sounds great! Can you share the location of the event?
Wedding,Exciting! Could you tell me where will it be happening?
Festival  for Queen of the castle,Sounds nice! Where is it?
Neighborhood party,Cool! Could you tell me where is it?
A party,That sounds great! Can you share the location of the event?
A birthday at home,Cool! Could you tell me where is it?
50 year wedding anniversary,Sounds nice! Where is it?
Western wedding,Cool! Could you tell me where is it?
St Patrick's Day Festival Woerden,That sounds great! Can you share the location of the event?
Summer vibes,Exciting! Could you tell me where will it be happening?
Birthday,Exciting! Could you tell me where will it be happening?
MTC amigos have been around for 10 years,Exciting! Could you tell me where will it be happening?
Staff party,Exciting! Could you tell me where will it be happening?
King's Day (in the evening) in the party tent in the village,Cool! Could you tell me where is it?
Birthday,Cool! Could you tell me where is it?
Birthday party 50 years garden party.,Cool! Could you tell me where is it?
Summit,Sounds nice! Where is it?
Techno party in the church building,Sounds nice! Where is it?
25th wedding anniversary,Cool! Could you tell me where is it?
Post wedding,Cool! Could you tell me where is it?
Party,Sounds nice! Where is it?
horse fair,Sounds nice! Where is it?
Birthday 50+1,That sounds great! Can you share the location of the event?
Parties with partners,Cool! Could you tell me where is it?
Spanish evening,Exciting! Could you tell me where will it be happening?
Retirement and shared birthday 135,Sounds nice! Where is it?
End of year party,Cool! Could you tell me where is it?
Birthday,That sounds great! Can you share the location of the event?
26th birthday,That sounds great! Can you share the location of the event?
Birthday,Exciting! Could you tell me where will it be happening?
Boda,Exciting! Could you tell me where will it be happening?
Boda,Cool! Could you tell me where is it?
Dance afternoon for elderly people 50 +,That sounds great! Can you share the location of the event?
Youth center,Exciting! Could you tell me where will it be happening?
Wedding,Cool! Could you tell me where is it?
Play in a game room,Sounds nice! Where is it?
Marriage,Sounds nice! Where is it?
My wife's birthday (50th).,Sounds nice! Where is it?
My wife's birthday (50th).,Exciting! Could you tell me where will it be happening?
Housewarming,Cool! Could you tell me where is it?
Diner,That sounds great! Can you share the location of the event?
End of season,That sounds great! Can you share the location of the event?
Birthday,That sounds great! Can you share the location of the event?
Wedding,Cool! Could you tell me where is it?
60 YEARS ANNIVERSARY,Sounds nice! Where is it?
pensioenfeest,Cool! Could you tell me where is it?
Birthday,Sounds nice! Where is it?
50th Birthday,Cool! Could you tell me where is it?
25th wedding anniversary,Sounds nice! Where is it?
Mayo,Sounds nice! Where is it?
Birthday,Cool! Could you tell me where is it?
come in,That sounds great! Can you share the location of the event?
Social gathering,Cool! Could you tell me where is it?
40 year anniversary,Exciting! Could you tell me where will it be happening?
Barbecue for all general practitioners and medical specialists in the Gelderse Valley region,Exciting! Could you tell me where will it be happening?
WEDIFSF,Exciting! Could you tell me where will it be happening?
djfjfdkjkjfdjkdjkj,That sounds great! Can you share the location of the event?
dfmdsfkmskksfjksjdfkdjfskjfskjfksjkdjfdsk 4,That sounds great! Can you share the location of the event?
